modality_pair,m1_name,m2_name,comparison,task_tag,n_questions,model,S_m1,S_m2,C12,C12_ci_lo,C12_ci_hi,D,D_ci_lo,D_ci_hi,S_target,S_reference
plain_text + table,plain_text,table,S_table - S_plain_text,Reasoning,10,Gemma3-4B,0.5,-0.005747126436781611,0.02045454545454546,-0.07954545454545454,0.4,-0.5057471264367817,-1.0,0.0,-0.005747126436781611,0.5
plain_text + table,plain_text,table,S_table - S_plain_text,Reasoning,10,Gemma3-27B,0.5,-0.030120481927710854,0.011363636363636367,-0.08863636363636364,0.4,-0.5301204819277109,-1.0,0.0,-0.030120481927710854,0.5
plain_text + table,plain_text,table,S_table - S_plain_text,Reasoning,10,GPT-4o-mini,0.5849420849420849,0.24517374517374513,-0.08863636363636365,-0.2,0.39999999999999997,-0.33976833976833976,-1.3333333333333335,0.45051194539249173,0.24517374517374513,0.5849420849420849
plain_text + table,plain_text,table,S_table - S_plain_text,Reasoning,10,Qwen3-VL-8B,0.3976744186046512,0.3976744186046512,-0.006818181818181807,-0.10681818181818184,0.4,0.0,-1.0,1.0,0.3976744186046512,0.3976744186046512
plain_text + table,plain_text,table,S_table - S_plain_text,Reasoning,10,Qwen3-VL-30B,0.5,0.3326996197718632,0.20227272727272733,0.0022727272727272596,0.8,-0.1673003802281368,-0.7499999999999999,0.40366972477064234,0.3326996197718632,0.5
plain_text + table,plain_text,table,S_table - S_plain_text,Understanding,45,Gemma3-4B,0.29492858696914226,0.3360342564685903,-0.31976474399966226,-0.5174669954136817,-0.08325813205735845,0.04110566949944805,-0.6382765063678179,0.5799159569640138,0.3360342564685903,0.29492858696914226
plain_text + table,plain_text,table,S_table - S_plain_text,Understanding,45,Gemma3-27B,0.4017637954556977,0.40346440009058027,-0.15049297649101512,-0.3157381717750878,0.0508939091979049,0.0017006046348825854,-0.3266162518591583,0.2958589379386471,0.40346440009058027,0.4017637954556977
plain_text + table,plain_text,table,S_table - S_plain_text,Understanding,45,GPT-4o-mini,0.38433075535152117,0.44672469757387406,-0.3991336610162755,-0.5559786542641224,-0.18550744993815332,0.062393942222352894,-0.23003946691041086,0.34485665207179106,0.44672469757387406,0.38433075535152117
plain_text + table,plain_text,table,S_table - S_plain_text,Understanding,45,Qwen3-VL-8B,0.29077220976631407,0.5704539906524564,-0.2813557099846383,-0.43439106760342805,-0.09515929218865413,0.2796817808861423,0.05847377251900995,0.49752264982769223,0.5704539906524564,0.29077220976631407
plain_text + table,plain_text,table,S_table - S_plain_text,Understanding,45,Qwen3-VL-30B,0.3595641523716816,0.505814417343306,-0.342344477043339,-0.5132249383715576,-0.13665337132003796,0.1462502649716244,-0.049039991167137795,0.3483487492721333,0.505814417343306,0.3595641523716816
