benchmark,modality_pair,comparison,model,n_documents,observed_D,D_mean,D_std,D_ci_lo,D_ci_hi,D_ci_excludes_zero,D_direction,observed_C12,C12_mean,C12_std,C12_ci_lo,C12_ci_hi,C12_ci_excludes_zero,C12_direction
MMLongBench-Doc,image + layout,S_layout - S_image,Qwen3-VL-30B,28,-0.7107843137254903,-0.7638680404656661,0.3787258804126361,-1.6249999999999998,-0.22727272727272724,True,negative,0.1056737588652482,0.1331182199211131,0.05732409756773036,0.027131782945736427,0.2539130434782608,True,positive
MMLongBench-Doc,image + plain_text,S_plain_text - S_image,Gemma3-4B,44,-0.10765661252900233,-0.11273952543312435,0.27818976913626436,-0.6724829685898592,0.42999438343475604,False,negative,-0.03552018633540375,-0.018217715965283706,0.046063391855819466,-0.10969387755102039,0.07111855158730158,False,negative
MMLongBench-Doc,image + plain_text,S_plain_text - S_image,Gemma3-27B,44,-0.4051125697655375,-0.4332865799175919,0.2767501632256493,-1.0404846683800955,0.04285714285714286,False,negative,-0.0531186270218928,-0.036049603131188185,0.0712115959473329,-0.1768520501653934,0.10162073750991261,False,negative
MMLongBench-Doc,image + plain_text,S_plain_text - S_image,GPT-4o-mini,44,-0.5081507896077431,-0.5215831091539912,0.18867037218933436,-0.923084869675779,-0.18584070796460186,True,negative,-0.004240324892498752,0.01391219636011828,0.049253555089773075,-0.08104488416988422,0.11076985672555278,False,negative
MMLongBench-Doc,image + plain_text,S_plain_text - S_image,Qwen3-VL-8B,44,-0.14239328080353286,-0.1366620657568572,0.23295422129628093,-0.6001909699455321,0.3277425513056522,False,negative,-0.019495863304936988,-0.0007679469646217211,0.05236353626753714,-0.10225138865179306,0.10209367460602624,False,negative
MMLongBench-Doc,image + plain_text,S_plain_text - S_image,Qwen3-VL-30B,44,-0.11661406300054195,-0.13423155511033205,0.2143631767001834,-0.601344181110718,0.24338647896083324,False,negative,-0.013535577397307146,0.004149597310384336,0.05309303706495141,-0.10324691076638454,0.10702247191011235,False,negative
MMLongBench-Doc,image + table,S_table - S_image,Gemma3-4B,14,1.7333333333333334,1.318894392701718,2.4721908034813715,-3.466666666666667,6.933333333333334,False,positive,-0.08894230769230771,0.06640137670464924,0.11920939090700378,-0.1346153846153846,0.3269230769230769,False,negative
MMLongBench-Doc,image + table,S_table - S_image,Gemma3-27B,14,1.0,1.1781518352535887,0.7919288941803693,0.24999999999999994,3.0,True,positive,0.0625,0.18999022288132664,0.13898584589591398,-0.0625,0.5,False,positive
MMLongBench-Doc,image + table,S_table - S_image,GPT-4o-mini,14,0.6666666666666666,0.553912220876146,0.5917376443008506,-1.0,1.0,False,positive,0.0,0.1252659545798699,0.07876360323769174,0.0,0.2857142857142857,False,zero
MMLongBench-Doc,image + table,S_table - S_image,Qwen3-VL-8B,14,3.5999999999999996,3.1689786812097167,1.5080943483011708,1.7999999999999996,7.199999999999999,True,positive,-0.027777777777777776,0.0812193284054211,0.07739066382588591,-0.05555555555555555,0.25396825396825395,False,negative
MMLongBench-Doc,image + table,S_table - S_image,Qwen3-VL-30B,14,1.0,1.0931206060641994,0.820353909857201,0.0,3.0,False,positive,0.0625,0.19733254977804507,0.10517210052347814,0.0,0.42857142857142855,False,positive
MMLongBench-Doc,layout + plain_text,S_plain_text - S_layout,Gemma3-4B,14,2.0,1.7516701590997286,1.431749584587584,-1.0,5.0,False,positive,-0.1875,-0.0843446585398203,0.1403002863654338,-0.375,0.1875,False,negative
MMLongBench-Doc,layout + plain_text,S_plain_text - S_layout,Gemma3-27B,14,0.5,0.5664589162950167,0.49236293908680534,0.0,2.0,False,positive,0.125,0.21904808071354775,0.1684418310044734,-0.125,0.5555555555555556,False,positive
